Address,City,State,Postal Code,Charging Station Location,Number Of Charge Stand
"11215 5th Ave SW, Seattle, WA 98146",Seattle,WA,98146,"47.50229169117588, -122.34107334032896",1
"9019 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,"47.522374030794666, -122.27028870375352",8
"12601 68th Ave S, Seattle, WA 98178",Seattle,WA,98178,"47.48988671012637, -122.24928992772443",1
"13050 Interurban Ave S, Tukwila, WA 98168",Tukwila,WA,98168,"47.48482281242184, -122.27253572895371",7
"3716 S 144th St, Tukwila, WA 98168",Tukwila,WA,98168,"47.47490029114033, -122.285993824314",2
"550 Monster Rd SW, Renton, WA 98057",Renton,WA,98057,"47.474176700608844, -122.24454900779465",2
"14300 1st Ave S, Burien, WA 98168",Burien,WA,98168,"47.47577391450015, -122.3319496333883",12
"14656 Ambaum Blvd SW, Burien, WA 98166",Burien,WA,98166,"47.47060324041779, -122.34619617410677",2
"400 S 152nd St, Burien, WA 98148",Burien,WA,98148,"47.46723804045947, -122.33950138035789",2
"3724 S 154th Ln, Tukwila, WA 98188",Tukwila,WA,98188,"47.46480103692655, -122.32370853386166",1
"311 S 174th Pl, Burien, WA 98148",Burien,WA,98148,"47.44681013592582, -122.32937335934145",1
"4011 S 164th St, SeaTac, WA 98188",SeaTac,WA,98188,"47.455632249599326, -122.28216648039074",2
"16830 Hwy 99, SeaTac, WA 98188",SeaTac,WA,98188,"47.45160754310154, -122.29538262434754",4
"2907 S 170th St, SeaTac, WA 98188",SeaTac,WA,98188,"47.45060204525944, -122.2949426112635",2
"17620 International Blvd, Seattle, WA 98188",Seattle,WA,98188,"47.444125026180515, -122.29576102177107",2
"2623 S 170th St, SeaTac, WA 98188",SeaTac,WA,98188,"47.44985419866532, -122.2992605672045",4
"18000 International Blvd, SeaTac, WA 98188",SeaTac,WA,98188,"47.44110752553585, -122.29484126241164",4
"18613 International Blvd, SeaTac, WA 98188",SeaTac,WA,98188,"47.436695435254414, -122.2967295375716",3
"18525 36th Ave S, Seattle, WA 98188",Seattle,WA,98188,"47.43553429737102, -122.28745982315007",1
"3100 S 192nd St, SeaTac, WA 98188",SeaTac,WA,98188,"47.4316886410861, -122.29391415394409",4
"19235 International Blvd, Seattle, WA 98188",Seattle,WA,98188,"47.42977470123173, -122.29605521458366",44
"19455 International Blvd, Seattle, WA 98188",Seattle,WA,98188,"47.427395111381784, -122.29597874813223",2
"4800 S 188th St, SeaTac, WA 98188",SeaTac,WA,98188,"47.43396458694368, -122.27303881280338",4
"2702 S 200th St, SeaTac, WA 98198",SeaTac,WA,98198,"47.423173242729305, -122.298622081874",4
"20th Ave #1811, Seattle, WA 98122",Seattle,WA,98122,"47.618048764376276, -122.30620429117528",2
"Parking lot, 1245 10th Ave E, Seattle, WA 98102",Seattle,WA,98102,"47.63173188926186, -122.32115497293559",2
"1818 Fairview Ave E, Seattle, WA 98102",Seattle,WA,98102,"47.6352432552439, -122.32582292892094",8
"1700 Westlake Ave N, Seattle, WA 98109",Seattle,WA,98109,"47.63326765356109, -122.33978304651565",2
"1101 Westlake Ave N, Seattle, WA 98109",Seattle,WA,98109,"47.62881385880154, -122.34141382952717",4
"1616 Eastlake Ave E, Seattle, WA 98102",Seattle,WA,98102,"47.63447502950176, -122.32477340500738",2
"401 Broadway E, Seattle, WA 98102",Seattle,WA,98102,"47.6225246085242, -122.32140697979385",2
"119 Harvard Ave E, Seattle, WA 98102",Seattle,WA,98102,"47.61943553481701, -122.32255177336683",2
"215 10th Ave E, Seattle, WA 98102",Seattle,WA,98102,"47.62088932636029, -122.31996670111806",6
"825 Eastlake Ave E, Seattle, WA 98109",Seattle,WA,98109,"47.626413451947684, -122.32941117020465",1
"Airbnb Seattle CDG, 811 24th Ave, Seattle, WA 98122",Seattle,WA,98122,"47.60889366727235, -122.301363084934",1
"1508 7th Ave, Seattle, WA 98101",Seattle,WA,98101,"47.61183999688436, -122.33354429362527",2
"1700 7th Ave UNIT 1800, Seattle, WA 98101",Seattle,WA,98101,"47.605581938244214, -122.33343698339297",8
"1101 4th Ave, Seattle, WA 98101",Seattle,WA,98101,"47.60695660489342, -122.33408084478675",1
"1191 2nd Ave, Seattle, WA 98101",Seattle,WA,98101,"47.605981326910396, -122.33675355281943",4
"Union Station, 505 5th Ave S, Seattle, WA 98104",Seattle,WA,98104,"47.59771202433414, -122.32824355683746",4
"2433 S Plum St, Seattle, WA 98144",Seattle,WA,98144,"47.585551141018556, -122.30042042717882",6
"4412 Rainier Ave S, Seattle, WA 98118",Seattle,WA,98118,"47.56371034896698, -122.28750986512223",2
"1531 Utah Ave S, Seattle, WA 98134",Seattle,WA,98134,"47.5890382449935, -122.33667433416292",6
"4502 42nd Ave SW, Seattle, WA 98116",Seattle,WA,98116,"47.56262833448698, -122.38547982560208",2
"Southcenter Pkwy #17501, Tukwila, WA 98188",Tukwila,WA,98188,"47.44738406238596, -122.26366401061902",16
"Strander Blvd #333, Tukwila, WA 98188",Tukwila,WA,98188,"47.45565329318375, -122.25661970789243",16
"301 Strander Blvd, Tukwila, WA 98188",Tukwila,WA,98188,"47.455679144399184, -122.25736769789464",10
"500 Southcenter Mall, Tukwila, WA 98188",Tukwila,WA,98188,"47.459783840961286, -122.2591433877009",1
"229 Andover Park E, Tukwila, WA 98188",Tukwila,WA,98188,"47.45737017915154, -122.25067475126129",4
"411 Baker Blvd, Tukwila, WA 98188",Tukwila,WA,98188,"47.45773199579064, -122.25119261304707",9
"700 Andover Park W, Tukwila, WA 98188",Tukwila,WA,98188,"47.44896582718207, -122.25331298479688",3
"1300 SW 27th St, Renton, WA 98057",Renton,WA,98057,"47.4580433459254, -122.2378855255584",3
"900 SW 16th St, Renton, WA 98057",Renton,WA,98057,"47.46644185709078, -122.23030920366459",3
"Parking lot, 601 SW 41st St, Renton, WA 98057",Renton,WA,98057,"47.44267336593374, -122.22737423212014",1
"3715 E Valley Rd, Renton, WA 98057",Renton,WA,98057,"47.44655090162519, -122.21911535870437",1
"SW 41st St #601, Renton, WA 98057",Renton,WA,98057,"47.44305204844777, -122.225177317935",16
"19802 62nd Ave S, Kent, WA 98032",Kent,WA,98032,"47.424005611093726, -122.2565560960698",2
